Index,PID,Title,Type,Abstract,Created Date,Genre,Author,DOI,Date,Date Available,Subtype,Place of Publication,Publisher,Keywords,Subject
26,UQ:2a1c8b7,Ridesharing in Adelaide: Segmentation of users,Journal Article,"Ridesharing and the tech companies that enable it have become household names. However, as research has focused on users rather than non-users, much less is known about the latter. Understanding the characteristics, behaviours, and motivations of non-users is quite important too, if the planning goal is to shift urban populations from private cars to ridesharing. This study examines both users and non-users in the context of Adelaide, an Australian metropolis of 1.3 million inhabitants. We segment (potential) ridesharers into three groups: (1) users, (2) interested non-users, and (3) non-interested non-users in order to investigate the determinants of their behaviours and preferences in more detail. Applying advanced statistical analyses, we find that population density and housing value at neighbourhood level, higher levels of education and income, causal work status, younger age, and access to smartphones are the key factors associated with higher ridesharing use and/or higher interest in ridesharing. Factors such as concern over safety and security, advanced age, digitalilliteracy, and suburban living lead non-interested non-users to shun ridesharing. Socio-demographic factors such as car ownership, ethnic background; gender, and household size, are not associated with ridesharing behaviours or preferences. We conclude that the choice of ridesharing in Adelaide is driven by the notion of socio-economic status.",2021-04-06T00:17:28Z,Journal Article,"Soltani, Ali| Allan, Andrew| Khalaj, Fahimeh| Pojani, Dorina| Mehdizadeh, Milad|",10.1016/j.jtrangeo.2021.103030,2021-04-01T00:00:00Z,2021-01-01T00:00:00Z,Article (original research),"Oxford, United Kingdom",Elsevier,"Geography, Planning and Development| General Environmental Science| Transportation|","3305 Geography, Planning and Development| 3313 Transportation| 2300 Environmental Science|"
27,UQ:9540583,Transport poverty in Chinese cities: asystematic literature review,Journal Article,"The widening income gap in post-reform China has given rise to social inequality. Among those, transport poverty and inequality have significantly affected the daily life of low-income groups. While important, this is an under-researched topic in China. This gap in the academic literature is glaring given the countrys urbanization rates, sprawling cities and income differentials. Most previous studies have only focused on two aspects of transport povertyjob-housing imbalance and accessibility. A comprehensive understanding of the causes and impacts of transport inequality is currently lacking. Therefore, a systematic review of academic literature based on keywords relevant to transport poverty in China was conducted to provide a more complete assessment of the situation in Chinese cities. In total, 62 relevant studies were identified after close examination of the articles (including titles, abstracts, and full-texts). This set of articles allowed a number of general patterns to be identified. It was found that the most common causes of transport poverty include: a lack of access to private vehicles; uneven access to alternative transport options; inadequate public transport provision; jobs-housing imbalance; and thehukousystem (a system of household registration which aims to regulate population distribution and rural-to-urban migration). The main impacts of transport poverty include: curtailed mobility and longer travel times; higher household expenditures on travel; reduced access to jobs and essential services; higher household expenditures on travel; and health and environmental issues.",2021-04-23T05:58:45Z,Journal Article,"Kong, Weichang | Pojani, Dorina| Sipe, Neil | Stead, Dominic |",10.3390/su13094707,2021-05-01T00:00:00Z,2021-01-01T00:00:00Z,"Critical review of research, literature review, critical commentary","Basel, Switzerland",MDPI,"Renewable Energy, Sustainability and the Environment| Geography, Planning and Development| Management, Monitoring, Policy and Law|","3305 Geography, Planning and Development| 2105 Renewable Energy, Sustainability and the Environment| 2301 Environmental Science (miscellaneous)| 2102 Energy Engineering and Power Technology| 2308 Management, Monitoring, Policy and Law|"
28,UQ:732304,"Past, present and future of transit-oriented development in three European capital city regions",Book Chapter,"The concept of Transit-Oriented Developmentdevelopment near, and/or oriented to, mass transit facilitieshas generated much interest in Europe over the last decade. Coined in the United States in the 1990s, the term TOD is frequently assumed to be a recent American import and a reaction to the consequences of mass motorization and sprawl. However, TOD is based on much older ideas of rail-based urban development that took place in many European cities during the 19th and 20th centuries. Arguably, the modern reincarnation of TOD is more focused on urban aesthetics. Other tenets, such as accessibility, density, and mixed-use, have remained more or less unchanged. This article examines how planning policies in three European capital city-regionsAmsterdam, Stockholm, and Viennahave been shaped by the ideas and principles underlying TOD. The three case studies were selected because all are located in European countries with mature systems of spatial planning: the Netherlands (Western Europe), Sweden (Northern Europe), and Austria (Central Europe). The article examines the extent to which planning policies from the mid-20th century to the present have reflected TOD principles. The analysis is based on secondary sources (articles, books, and planning reports), and the focus of the study is on policy rather than measurements and metrics. The last three decades are explored more in depth as material is more readily available. The first part of the analysis summarizes the development of spatial planning in the Netherlands, Sweden, and Austria since WWII, with an eye to highlighting policies that could be considered to be, or might affect, TOD. The second part deals with the implications of these policies in terms of past, present, and future TOD planning and practice in the respective capital city-regions: Amsterdam, Stockholm, and Vienna.",2018-09-24T05:45:42Z,Book Chapter,"Pojani, Dorina| Stead, Dominic |",10.1016/bs.atpp.2018.07.003,2018-01-01T00:00:00Z,,Research book chapter (original research),"London, United Kingdom",Academic Press (Elsevier),Austria| City-regions| Netherlands| Planning| Sweden| Transit-Oriented Development|,3313 Transportation|
29,UQ:9b19592,The legitimacy of informal settlements in Balkan States,Journal Article,"This article analyzes media representations of squatters and their settlements in five case studies in the Western Balkans: the capitals of Albania, Bosnia-Herzegovina, Kosovo, Northern Macedonia, and Serbia, drawing on a database of 300 newspaper articles, dating from 1990 to 2015. The analysis reveals eight themes. The press has: (1) questioned the states legitimacy to govern, (2) characterized squatters as citizens; (3) sympathized with squatters; (4) de-legitimized controls on informal housing and the classes in power; (5) expressed resentment towards powerful elites which have also engaged in informal construction; (6) engaged in nostalgic reminiscing about the rule of law under socialism; (7) engaged in exclusionary discourse towards squatters; and (8) criminalized squatters. Given the regions socialist legacy of egalitarianism, negative representations of squatters have been mostly symbolic and they have not significantly diminished their chances of bettering their lives in the city. Building informality is clearly a social construct, and its representations depend largely on the class, size, and political clout of the social groups engaged in informal construction.",2020-11-19T00:56:16Z,Journal Article,"Pojani, Dorina| Baar, Kenneth|",10.1080/25739638.2020.1833563,2020-11-18T00:00:00Z,2020-01-01T00:00:00Z,Article (original research),"Abingdon, United Kingdom",Routledge,Balkan Peninsula| Informal settlements| media narratives| thematic analysis|,"3316 Cultural Studies| 1202 History| 3312 Sociology and Political Science| 2001 Economics, Econometrics and Finance (miscellaneous)|"
30,UQ:385723,Post-rational planning and the shifting role of planning imagery,Journal Article,"This paper discusses how visual representations contained in urban plans change during periods of rapid social, economic and political transition. It investigates the consequences of these transitions, focusing on the situation in Albania immediately after the fall of socialism. In doing so, the paper contributes to the academic literature on the implications of liberalization for planning, particularly in terms of the way in which plans are formulated, presented and employed. The authors contend that the visual representations and the written word both express and validate the perspectives of power holders and the dominating planning doctrines. Maps often contain hidden or subtle messages and agendas that are not immediately apparent to text readers. To fully understand the evolution of planning thought and practice in any place, texts and maps must be analysed in conjunction with each other.",2016-04-26T14:10:04Z,Journal Article,"Pojani, Dorina| Stead, Dominic|",10.1080/13574809.2016.1167590,2016-04-19T00:00:00Z,2016-01-01T00:00:00Z,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,"Geography, Planning and Development| Arts and Humanities (miscellaneous)| Urban Studies|","3305 Geography, Planning and Development| 1201 Arts and Humanities (miscellaneous)| 3322 Urban Studies|"
31,UQ:422331,Transit-oriented street design in Beijing,Journal Article,"Using Beijing as a case study, this paper seeks to contribute to academic and professional debates about how general Transit-Oriented design principles can be translated into the Chinese context. It focuses on TOD designs of commercial streets adjacent to transit nodes (rather than residential neighbourhoods or other developments). The evidence presented in the paper suggests that while the Chinese public agrees with many of the basic TOD tenets laid out in the international literature, views about specific design aspects are closely linked to national cultural views and practices. Chinese urbanites are as desirous for human activities, pedestrian safety and comfort, visual variety, natural elements (trees and water) and complexity in outdoor spaces as Western publics. At the same time, in line with Chinas pre-socialist and socialist style of urbanism, support for cycling and bus lanes, as well as mixed uses and commerce (including street vending) in TOD streets, is much higher than in Western countries. Personal security is less of a concern while the acceptable development scale is much higher than in the West.",2017-01-26T11:13:27Z,Journal Article,"Kong, Weichang| Pojani, Dorina|",10.1080/13574809.2016.1271700,2017-02-01T00:00:00Z,2017-01-01T00:00:00Z,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,Design| Transport| Urban planning|,"3305 Geography, Planning and Development| 1201 Arts and Humanities (miscellaneous)| 3322 Urban Studies|"
32,UQ:355183,"Urban design, ideology, and power: use of the central square in Tirana during one century of political transformations",Journal Article,"This article recounts the history of urban design in the centre of Tirana, the capital of Albania, during five political periods (Ottoman Empire, Italian domination, communist regime, post-communist anarchy, and Western-style planning). Starting in the 1910s, successive governments have imposed their urban design visions for a grand city centre and tried to erase the built heritage of their predecessors, thus creating an eclectic space. In the post-communist era, the city government has made attempts to develop a new grand vision for its use but has met with failure. The author argues that the reasons for this outcome lay in the contemporary nature of the state, as well as the nature of development in a market economy.",2015-03-30T15:31:39Z,Journal Article,"Pojani, Dorina|",10.1080/02665433.2014.896747,2014-04-09T00:00:00Z,2014-01-01T00:00:00Z,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,City centres| Public space| Monumentality| Totalitarianism| Tirana| Albania|,"3305 Geography, Planning and Development|"
33,UQ:355177,Dutch Planning Policy: The Resurgence of TOD,Journal Article,"This article examines the transfer of knowledge and information in planning processes, particularly those related to Transit-Oriented Development (TOD) in the metropolitan region of Amsterdam. The authors conclude that knowledge transfers are often highly dependent on the actions of individuals, and that the process of knowledge exchange is frequently uncoordinated and fragmented. Planning ideas from elsewhere often provide inspiration for policy makers but these do not often lead to changes in the formulation of policy or practice.",2015-03-30T15:07:24Z,Journal Article,"Pojani, Dorina| Stead, Dominic|",10.1016/j.landusepol.2014.06.011,2014-06-16T00:00:00Z,2014-01-01T00:00:00Z,Article (original research),"Kidlington, Oxford, United Kingdom",Pergamon Press,Policy transfer| Planning| Transportation| Transit orientated development| Amsterdam| Netherlands|,"1107 Forestry| 3305 Geography, Planning and Development| 2309 Nature and Landscape Conservation| 2308 Management, Monitoring, Policy and Law|"
34,UQ:734032,Gauging differences in public transport symbolism across national cultures: implications for policy development and transfer,Journal Article,"The use of different forms of public transport connotes different symbolic meanings across national cultures. This has relevance when encouraging the uptake of public transport in Asia's megacities such as Beijing or Chennai, where rapid deterioration in air quality has been partly attributed to a rapid increase in private motorised transport ownership and usage. Yet the social connotations of using public transport might not always be positive. Whilst metro systems may be seen as progressive and uniting, bus-based transit is still often seen as a poor cousin. This may present a significant impediment when encouraging a shift from private to public transport in cities where the national culture mandates visible differentiation between those of differing social status. This study uses deductive thematic analysis based upon symbolic permutations, to explore these concepts across two meta cultural clusters, each consisting of two sub clusters segmented by means of the Hofstede national culture indices: low power differential/individualistic (Anglo, Nordic), and high power differential/collectivist (Confucian, and South Asian). Using horizontal purposive sampling, sufficient differences are observed, as to the symbolism of the public transport modes across the groups, to justify an expansion of theory to the population of interest. The findings of the work should assist the promotion of sustainable transport in rapidly industrialising cities in the Global South, and international policy transfer across different geographies.",2019-04-27T04:57:55Z,Journal Article,"Ashmore, David P.| Pojani, Dorina | Thoreau, Roselle| Christie, Nicola| Tyler, Nicholas A.|",10.1016/j.jtrangeo.2019.04.008,2019-04-25T00:00:00Z,2019-05-01T00:00:00Z,Article (original research),"Oxford, United Kingdom",Pergamon Press,Bus| Metro| National culture| Policy transfer| Public transport| Symbolism|,"3305 Geography, Planning and Development| 3313 Transportation| 2300 Environmental Science|"
35,UQ:719459,Urban acupuncture to alleviate stress in informal settlements in Mexico,Journal Article,"This paper explores whether smaller-scale physical space interventions (urban acupuncture) have the power to alleviate the stress, social pathologies and political disengagement experienced by the residents of informal settlements. The case study is Tepito, a barrio in Mexico City. The results, based on 20 qualitative interviews with local residents, support the idea that an urban acupuncture approach has a high potential in this respect. In view of these findings, the authors argue that an indirect approach, focused on physical space, might, at least in the short term, be more productive in empowering of informal settlement dwellers than direct efforts at political organization. Physical, economic and political spaces are intrinsically linked. Little political engagement can be expected if people live in poor physical environments. While certainly not a panacea, acupunctural interventions might trigger much broader changes than initially intended.",2018-02-07T00:44:53Z,Journal Article,"Lastra, Alejandro | Pojani, Dorina |",10.1080/13574809.2018.1429902,2018-02-06T00:00:00Z,2018-01-01T00:00:00Z,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,Developing-Countries| Neighborhood| Health| Environments| Validation| Mobility| Index|,"3305 Geography, Planning and Development| 1201 Arts and Humanities (miscellaneous)| 3322 Urban Studies|"
36,UQ:715472,The application of renewable energy to social housing: a systematic review,Journal Article,"Low-income housing associations provide a unique opportunity for renewable energy installations, through potential scale of implementation sites, and in reducing social and financial costs to tenants. As an emerging field, a systematic review format was chosen as a method of providing a 'state-of-the-are analysis for practitioners and researchers in the field of renewable energy and social housing applications. While literature reviews are common in analysis of energy applications across many fields, systematic reviews are much rarer. Because research/policy interest in the application of renewable energy technologies and social Shousing appears to be growing, this review aims to bring together the disparate literature already available. This review set out to determine what are the common 1. Success Factors, 2. Barriers and 3. Motivations, evident in previous research surrounding the application of renewable energy technologies in social housing contexts? Common findings from 67 research cases were synthesised under 3 a priori themes of Motivations, Barriers and Success Factors. Many articles revolved around the user interface and potential barriers to integration of technology, particularly where user engagement is not carried out sufficiently. It is suggested that this emphasis reflects a broader trend in applying socio-technical approaches in the field of energy research.",2018-01-09T10:36:10Z,Journal Article,"McCabe, Annie| Pojani, Dorina| van Groenou, Anthony Broese|",10.1016/j.enpol.2017.12.031,2018-03-01T00:00:00Z,2018-01-01T00:00:00Z,"Critical review of research, literature review, critical commentary","London, United Kingdom",Elsevier,Source Heat-Pumps| Fuel Poverty| Uk| Carbon| Performance| Efficiency| Retrofit| Photovoltaics| Generation| Adoption|,"2100 Energy| 2308 Management, Monitoring, Policy and Law|"
37,UQ:720785,Social housing and renewable energy: community energy in a supporting role,Journal Article,The development of renewable energy offers potential for achieving distributive justice. Individuals and communities have emerged as a major force in shaping just energy transitions. This brief perspective piece provides an introductory exploration of the potential application of community energy to social housing in order to mitigate barriers to energy provision for low-income groups.,2018-02-19T00:48:18Z,Journal Article,"McCabe, Annie| Pojani, Dorina| van Groenou, Anthony Broese|",10.1016/j.erss.2018.02.005,2018-04-01T00:00:00Z,2018-01-01T00:00:00Z,"Critical review of research, literature review, critical commentary","Amsterdam, Netherlands",Elsevier,Community energy| Renewable energy| Social housing| Energy justice|,"2105 Renewable Energy, Sustainability and the Environment| 2104 Nuclear Energy and Engineering| 2103 Fuel Technology| 2102 Energy Engineering and Power Technology| 3301 Social Sciences (miscellaneous)|"
38,UQ:87b3d62,The challenge of opening up gated communities in Shanghai,Journal Article,"The Chinese government has recently issued a directive that calls for an end to gated communities. The aim is to halt the construction of new gated communities, and gradually open existing gated communities to the public. This paper examines the challenges of implementing the new directive in Shanghai, where more than 80% of residential communities are gated. The study reveals five types of challenges: (1) site redesign; (2) urban governance; (3) social frictions; (4) legal status; and (5) financial burden. While redesign is a more straightforward, albeit onerous, task, smoothing governance, social, legal, and financial tensions is a greater challenge.",2019-07-04T01:02:32Z,Journal Article,"Wang, Hongbing| Pojani, Dorina|",10.1080/13574809.2019.1625707,2019-07-03T00:00:00Z,2019-01-01T00:00:00Z,Article (original research),"Abingdon, Oxon, United Kingdom",Routledge,"Geography, Planning and Development| Arts and Humanities (miscellaneous)| Urban Studies|","3305 Geography, Planning and Development| 1201 Arts and Humanities (miscellaneous)| 3322 Urban Studies|"
39,UQ:5c7418d,Setting the agenda for parking research in other cities,Book Chapter,"The chapter reflects on the 12 case studies discussed in the book and considers their implications for future research. At the end of the chapter, a new agenda for parking research in large cities is set out.",2021-06-24T23:16:36Z,Book Chapter,"Pojani, Dorina| Kimpton, Anthony| Sipe, Neil| Corcoran, Jonathan| Mateo-Babiano, Iderlina| Stead, Dominic|",10.1016/B978-0-12-815265-2.00014-5,2019-01-01T00:00:00Z,,Research book chapter (original research),"Amsterdam, Netherlands",Elsevier,Autonomous vehicles| Car holdings| Digital disruptors| Immobility| International perspective| Land use policy| Parking| Peak driving| Research agenda| Transport policy|,3300 Social Sciences|
40,UQ:732725,Discretion and the erosion of community trust in planning: reflections on the postpolitical,Journal Article,"In this study, performance-based planning is implicated in the destabilisation of community trust in the planning system. Set in a contested inner city area of Brisbane, Australia, the research associates neoliberal planning objectives with the discretionary decision-making specifically embedded in performance-based planning. The neoliberalisation of planning is, we submit, symptomatic of a post-ideological politics of consensus that actually erodes properly political moments and renders the political merely administrative. We explore these matters by reference to a particular case study involving a spatial planning project that resulted in height and density being extended to unprecedented levels, and competitive economic value and city branding being prioritised over the local value of the place. This discretionary action, limited formal participation opportunities, and existing low levels of community trust motivated local residents to mobilise against the plan and design alternatives. To understand the role of trust and participation in performance-based planning, both in this case and more generally, a number of stakeholders were interviewed and surveyed to gather their views on participation, trust, and discretion in planning, and on the performance-based planning system. A surprising research finding is that many stakeholders expressed trust in planning professionals but distrust in the planning system in which planners operate, and they did so on the understanding that the system gives unfettered priority to economic growth objectives.",2018-10-24T13:20:45Z,Journal Article,"Kwok, Melanie| Johnson, Laurel| Pojani, Dorina|",10.1111/1745-5871.12310,2018-10-14T00:00:00Z,2018-01-01T00:00:00Z,Article (original research),"Richmond, VIC, Australia",Wiley-Blackwell,"Earth-Surface Processes| Geography, Planning and Development|","3305 Geography, Planning and Development| 1904 Earth-Surface Processes|"
41,UQ:93f1cf7,Is public space privatization always bad for the public? Mixed evidence from the United Kingdom,Journal Article,"In the last four decades, public space production has shifted from being predominantly led by the public sector to include a greater variety of private actors, large and small, for-profit and non-profit. This study, set in Liverpool, England, analyses and compares three variations of the privatization of public space production: entirely private development; public private partnership (PPP); and community-led development. The purpose is to determine whether, why, and by how much publicness has declined in the production of urban spaces. While most planning literature has tended to demonize privatization, this study reveals that processes which tend to be collaborative and involve multiple public and private stakeholders have a higher degree of publicness compared to both entirely privately-led and entirely publicly-led processes.",2020-03-04T00:42:18Z,Journal Article,"Leclercq, Els| Pojani, Dorina| Van Bueren, Ellen|",10.1016/j.cities.2020.102649,2020-05-01T00:00:00Z,2020-01-01T00:00:00Z,Article (original research),"Oxford, United Kingdom",Elsevier,"Tourism, Leisure and Hospitality Management| Development| Sociology and Political Science| Urban Studies|","3303 Development| 3312 Sociology and Political Science| 3322 Urban Studies| 1409 Tourism, Leisure and Hospitality Management|"
42,UQ:ee1e5ce,The self-built city: theorizing urban design of informal settlements,Journal Article,"Purpose: While a substantial amount of study of informal settlements has been undertaken, they remain largely unstudied in terms of urban form. In this analysis, the purpose of this paper is to set forth a conceptual framework, which considers the context in which informality takes place, the settlement itself, the houses contained therein, the dwellers of those houses and the process through which a settlement is designed and transformed over time. Design/methodology/approach: This is a literature review. Findings: This framework aims to be sufficiently flexible to be deployed across diverse national settings. Its formulation is important because informal settlements are a permanent fixture of the global urban landscape, and are increasing in scale. Originality/value: Any sustainable strategies to improve informal settlements depend on a better understanding of their urban space, as well as of the producers of this space the residents themselves. Finally, professional designers may be able to learn from this contemporary urban vernacular grammar perhaps the only one left in the era of sanitized, contrived and prosaic urban design.",2019-04-24T21:36:53Z,Journal Article,"Pojani, Dorina|",10.1108/arch-11-2018-0004,2019-04-23T00:00:00Z,2019-01-01T00:00:00Z,"Critical review of research, literature review, critical commentary","Cambridge, MA USA",ArchNet,Urban Studies| Architecture|,2216 Architecture| 3322 Urban Studies|
43,UQ:381148,Tirana,Journal Article,"This profile focuses on the problems and issues that have emerged in Tirana, capital of Albania, during the transformation to a market economy in the post-communist period (1990-present). It addresses physical, economic, social, and environmental challenges related to its exceptional growth and complete transformation during this time, with an emphasis on physical design patterns. This account is preceded by a discussion of the city's development since its origins at the turn of the last century.",2016-03-01T14:57:42Z,Journal Article,"Pojani, Dorina|",10.1016/j.cities.2010.02.002,2010-01-01T00:00:00Z,,Article (original research),"Kidlington, Oxford, United Kingdom",Pergamon Press,East European capital| Illegal and informal construction| Post-communist transition| Tirana| Albania| Urbanization|,"3303 Development| 3312 Sociology and Political Science| 3322 Urban Studies| 1409 Tourism, Leisure and Hospitality Management|"
44,UQ:723897,Socio-demographic and built environment determinants of car use among older adults in Iran,Journal Article,"Internationally, an age-friendly built environment, including safe, affordable, and convenient transportation, has been identified as crucial in enhancing the quality of life for increasingly large numbers of elderly people. This study presents data on the urban travel and mobility patterns of older adults in Shiraz, Iran a country where the population is ageing faster than the average of western societies. The relationship between car use and socio-demographic and built environment variables is investigated through Ordinary Least Squares and Geographically Weighted Regression models. These models show that the main determinants of car use among older adults are: employment status; household size; car ownership rate; trip purpose; property prices; and mixed land-uses. Also, the study reveals that car dependency is significant and more pronounced among wealthier individuals, who tend to be clustered in the northern section of the city. The population density and road network design characteristics do not affect car use among older adults, while a mix of land-uses tends to attenuate car dependency. Gender gaps in car use are much wider than in the West, and some level of spatial mismatch between travel needs and car access is observed in the southern section of the city. Clearly, Iranian cities must move away from the current car-centric development model.",2018-03-20T07:54:31Z,Journal Article,"Soltani, Ali| Pojani, Dorina| Askari, Sajad| Masoumi, Houshmand E.|",10.1016/j.jtrangeo.2018.03.001,2018-04-01T00:00:00Z,2018-04-01T00:00:00Z,Article (original research),"Kidlington, Oxford, United Kingdom",Pergamon Press,"Travel behaviour| Car use| Older adults| Geographically weighted regression| Shiraz, Iran|","3305 Geography, Planning and Development| 3313 Transportation| 2300 Environmental Science|"
45,UQ:697790,Cities as story: redevelopment projects in authoritarian and hybrid regimes,Journal Article,"In the past decade, so-called hybrid regimesauthoritarian regimes in the guise of democracyhave emerged in Europe. Similar to the authoritarian or totalitarian regimes of 20th-century Europe, the association between urban design and politics is evident in the capital cities of hybrid regimes. This article recounts the stories of the recently proposed and/or completed redevelopment projects in the centers of Istanbul (Turkey), Skopje (Macedonia), and Tirana (Albania). In all 3 capitals, the interventions have been rather contentious, and have produced violent protests in the case of Turkey and Macedonia. The author has collected and presented the stories of the users of these three city centers and their reactions to these spaces before and after redevelopment. Users narratives bring to light elements of the situations and the characters involved that have so far been implicit. Conceptualizing urban planning through storytelling is meant to bring an element of Balkan magic realism into this field, which historically has been dominated by theories produced in the Anglosphere.",2017-11-25T08:12:27Z,Journal Article,"Pojani, Dorina|",10.1080/07352166.2017.1360737,2017-11-22T00:00:00Z,2017-01-01T00:00:00Z,Article (original research),"Philadelphia, PA United States",Taylor & Francis,Sociology and Political Science| Urban Studies|,3312 Sociology and Political Science| 3322 Urban Studies|
46,UQ:366819,From camaraderie to detachment: the effect of changing built environment forms on neighborhood relations in a post-communist context,Journal Article,"Through population surveys and interviews, this article examines how relationships among neighbors in Tirana, capital of Albania, have evolved after the demise of communism, in conjunction with transformations in the citys built environment. The transformations that took place in Albania in the post-communist period were among the most extensive in Eastern Europe. This study found that the density and height increases in Tirana have had negative impacts in terms of social cohesion. Combined with economic polarization, internal and international migration, and the introduction of western lifestyles and aspirations (such as individualism and economic success), built environment transformations have led to the weakening and contracting of localized networks. However, this study does not support the notion that social isolation or alienation has plagued contemporary urban residents. Many urbanites still preserve some of the spirit of the smaller traditional communities, especially in older, more consolidated neighborhoods created during communism and in lower condominium buildings.",2015-08-07T09:12:37Z,Journal Article,"Pojani, Dorina| Buka, Migena|",10.1016/j.cities.2015.07.007,2015-12-01T00:00:00Z,2015-01-01T00:00:00Z,Article (original research),"Kidlington, Oxford United Kingdom",Pergamon Press,Community relationships| Social cohesion| Neighborhoods| Densification| High-rise buildings| Post-communist transition| Eastern Europe| Tirana| Albania|,"3303 Development| 3312 Sociology and Political Science| 3322 Urban Studies| 1409 Tourism, Leisure and Hospitality Management|"
47,UQ:727230,Policy design for sustainable urban transport in the global south,Journal Article,"Many urban areas, both in the Global North and South, are becoming increasingly automobile-dominated and less sustainable. The need to take action is well recognized but all too often governance arrangements and the symbolism attached to automobility stand in the way. Drawing on international experience, this article summarizes some of the necessary preconditions of urban governance for promoting more sustainable urban transport in the Global South, highlights priority policy areas for action, reviews a range of key policy measures for promoting sustainable urban transport, and discusses the potential for transferring experience and practice from the Global North to the Global South.",2018-04-16T04:59:37Z,Journal Article,"Pojani, Dorina| Stead, Dominic|",10.1080/25741292.2018.1454291,2018-04-16T00:00:00Z,2018-01-01T00:00:00Z,Article (original research),"Abingdon, United Kingdom",Taylor and Francis,Urban transport| Governance| Policy priorities| Policy measures| Global South|,3320 Political Science and International Relations| 3321 Public Administration|
48,UQ:64ee04d,Reservoirs of resistance: polymyxin resistance in veterinary-associated companion animal isolates of Pseudomonas aeruginosa,Journal Article,"is an opportunistic pathogen and a major cause of infections. Widespread resistance in human infections are increasing the use of last resort antimicrobials such as polymyxins. However, these have been used for decades in veterinary medicine. Companion animals are an understudied source of antimicrobial resistant isolates. This study evaluated the susceptibility of veterinary isolates to polymyxins to determine whether the veterinary niche represents a potential reservoir of resistance genes for pathogenic bacteria in both animals and humans.<br /><br />Clinical isolates (n=24) from UK companion animals were compared for antimicrobial susceptibility to a panel of human-associated isolates (n=37). Minimum inhibitory concentration (MIC) values for polymyxin B and colistin in the companion animals was significantly higher than in human isolates (P=0.033and P=0.013,respectively). Genotyping revealed that the veterinary isolates were spread throughout the population, with shared array types from human infections such as keratitis and respiratory infections, suggesting the potential for zoonotic transmission. Whole genome sequencing revealed mutations in genes associated with polymyxin resistance and other antimicrobial resistance-related genes.<br /><br />The high levels of resistance to polymyxin shown here, along with genetic similarities between some human and animal isolates, together suggest a need for sustained surveillance of this veterinary niche as a potential reservoir for resistant, clinically relevant bacteria in both animals and humans.",2019-07-09T10:46:37Z,Journal Article,"Scott, Andrea| Pottenger, Sian| Timofte, Dorina| Moore, Matthew| Wright, Laura| Kukavica-Ibrulj, Irena| Jeukens, Julie| Levesque, Roger C| Freschi, Luca| Pinchbeck, Gina L| Schmidt, Vanessa M| McEwan, Neil| Radford, Alan D| Fothergill, Joanne L|",10.1136/vr.105075,2019-06-25T00:00:00Z,,Article (original research),"London, United Kingdom",BMJ,antimicrobials| bacterial pathogenesis| bacteriology| infection|,
49,UQ:390850,Obstacles to the creation of successful bus rapid transit systems: the case of Bangkok,Journal Article,"Bangkok has failed in the implementation of its BRT system. The single line in operation since 2010 stretches only 15 km and transports merely 15,000 passengers daily. This article examines the reasons why Bangkok has (so far) been unable to implement a full BRT system, unlike many counterparts in Asia, Africa, and Latin America, which have similar financial constraints. The authors' position is that there is as much to learn from failure as from success. BRT issues are placed in the broader context of urban transport problems in Bangkok. The study indicates that the Bangkok BRT project was curtailed due to a combination of reasons, which confirm the findings of prior studies on BRT planning and implementation worldwide. The crucial issues in this case were the weak and discontinued political leadership and the failure to manage competing modes, the primary of which is the automobile. Nonetheless, creating a however limited BRT system was not a loss for Bangkok and extension plans could always be resumed in the future. Should another attempt be made at creating an integrated and large-scale BRT system, local planners and leaders who care about the city's sustainable future must avoid repeating past mistakes and falling into past behavioral patterns. While this article focuses on a single case study, the findings apply to a number of cities in similar geo-political and economic contexts.",2016-06-21T18:52:48Z,Journal Article,"Wu, Irene| Pojani, Dorina|",10.1016/j.retrec.2016.05.001,2016-06-18T00:00:00Z,2016-12-01T00:00:00Z,Article (original research),"Amsterdam, Netherlands",Elsevier,Bus rapid transit (BRT)| Bangkok| Thailand| Urban transport problems| Planning barriers| Implementation barriers|,"2001 Economics, Econometrics and Finance (miscellaneous)| 3313 Transportation|"
50,UQ:478270,Barriers to successful bus rapid transit expansion: developed cities versus developing megacities,Journal Article,"While the profile of Bus Rapid Transit (BRT) has been raised owing to many success cases, substantial barriers to its planning and implementation persist. This article compared two contrasting efforts to implement BRT systems in cities with greatly different circumstances: Brisbane, Australia, and Lima, Peru. It found that barriers to the creation of citywide BRT systems in Lima and Brisbane are not the same, given the contextual differences, the different sizes, and the different level of development of the two cities. However, there is potential for these two cities, as well as others that are considering BRT, to learn from each other's pitfalls. The circumstances in these two case studies are certainly not unique. The findings apply to a number of cities in similar geo-political and economic contexts.",2017-02-22T03:46:00Z,Journal Article,"Chayacani Mallqui, Yngrid Yamili| Pojani, Dorina|",10.1016/j.cstp.2017.01.004,2017-06-01T00:00:00Z,2017-01-01T00:00:00Z,Article (original research),"Amsterdam, Netherlands",Elsevier,Bus Rapid Transit| Brisbane| Australia| Lima| Peru|,"3305 Geography, Planning and Development| 3313 Transportation| 3322 Urban Studies|"
